objectid,pcon16cd,pcon16nm,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
75,E14000604,Bromley and Chislehurst,542971,170358,0.054539,51.4142189,29408133.1162942,38694.9799588021
76,E14000605,Bromsgrove,399840,273736,-2.0037601,52.36169052,216968484.967177,113135.463792271
77,E14000606,Broxbourne,534218,205427,-0.05786,51.73149872,66870628.2061971,47860.6541213215
78,E14000607,Broxtowe,450754,346085,-1.24501002,53.00968933,65790601.7710052,57540.9231411992
79,E14000608,Buckingham,477472,222419,-0.87553,51.89495087,866945906.118018,262429.676832541
80,E14000609,Burnley,384886,430882,-2.23079991,53.7740593,110683998.404269,57764.5772376233
81,E14000610,Burton,404391,334740,-1.93614995,52.91007996,243374402.235329,161730.07931315
82,E14000611,Bury North,379312,413522,-2.31420994,53.61783981,51013146.6282256,45515.3310780413
83,E14000612,Bury South,380354,406519,-2.29801011,53.55493927,48446979.94565,49291.0199884736
84,E14000613,Bury St Edmunds,594529,264764,0.84811902,52.24668121,502058508.578076,179773.383613385
86,E14000615,Camberwell and Peckham,533978,176264,-0.07246,51.46949005,11396353.783119,21798.1803583716
87,E14000616,Camborne and Redruth,171361,37224,-5.20457983,50.19078064,283995428.851011,137163.419164832
355,E14000884,Portsmouth South,465420,99877,-1.07314003,50.79476166,16950878.4288142,24595.2292639936
356,E14000885,Preston,354517,430860,-2.69157004,53.77209091,26950140.3006287,35353.1300260551
